id,title,content,voteSum,voteCount,rating,updated,version
8921712752,Coach Dumas - Buccaneers,"Great communication tool, love it.",0,0,5,2022-07-28T14:59:16-07:00,6.4.11
8910964729,Great App,Super easy app to use! Wish all teams used this!!,0,0,5,2022-07-25T10:59:53-07:00,6.4.11
8870855811,5 Star,5 Star,0,0,5,2022-07-13T13:24:49-07:00,6.4.11
8813603063,Never works,"Worst app! I have had nothing but problems with this app but am forced to use it with our sports club. I am constantly logged out of the app, the chat function doesn’t work for half the team so they don’t get the messages, I have to click on the links multiple times before it works, always glitchy, and on and on and on. I’m switching to the user friendly Team Snap.",0,0,1,2022-06-26T14:15:35-07:00,6.4.11
8756997081,Excelent Service,Excelente servicio y muy facil de usar,0,0,5,2022-06-09T07:47:19-07:00,6.4.11
8754159858,Does not work,It will not add a parent/guardian account and is not capable of allowing membership to multiple teams. Over 40 hours working with support and they can’t get anything to work.,0,0,1,2022-06-08T10:13:41-07:00,6.4.11
8750807450,Not a good app,"I’m baffled how this app has a star rating of 4.8. It’s just incredibly slow. Click on the “Chat” button at the bottom and nothing happens; Click on the “Schedule” button and it says “nothing scheduled”, and then maybe, sometimes, the actual team schedule will pop up. For the record I have a new iPhone 13 Pro and a fast data connection via fiber network, so it’s not the equipment being used. I’ve learned the tricks for navigating it to make the Chat/Schedule display, but it’s a really buggy app, very slow to display info, and just not a good user experience. Many of the parents on our team complain of the same thing. There are much, much, better alternatives available for managing/communicating with your team, and I’m going to talk with our organization’s director to see if we can try something different. Using this one is semi-brutal.",0,0,2,2022-06-07T09:31:35-07:00,6.4.11
8748370475,Review,Great app,0,0,5,2022-06-06T15:28:35-07:00,6.4.11
8733840338,Stop making me sign in!,"App is fine, but constantly having to sign in is super aggravating. This is probably the least sensitive information on my phone. Just leave me signed in.",0,0,2,2022-06-02T08:52:29-07:00,6.4.11
8716511262,App is okay,this app is pretty good but it is glitchy so we are switching to play metrics sorry sports engine,0,0,3,2022-05-28T05:56:54-07:00,6.4.11
8711254696,Buggy but necessary,Every season it seems to break for various reasons. It usually gets fixed or someone else on the team can get around the bug. But it’s a lifesaver when it does work!,0,0,2,2022-05-26T15:44:07-07:00,6.4.11
8710908517,Poor update,"I’ve sent so many emails about errors in the last week, nothing gets fixed. This new update isn’t helping the chat feature or the missing chats that were happening prior. I really enjoy this app but it might be time to switch",0,0,1,2022-05-26T13:00:04-07:00,6.4.11
8704879604,Not functional app,App does not work at all. The few time I can access the schedule or chat it takes long time to display.,0,0,1,2022-05-24T17:48:27-07:00,6.4.10
8703832054,Schedules not updating App very Buggy,"For the longest time, I thought this app was just buggy for iOS. A friend of mine used to work at SportsEngine and was an Android user. Recently, I had a parent show up for a soccer game that I had rescheduled over five days prior. Turns out she was an android user. Our team has switched to WhatsApp for chats. The chat notification number is always wrong. WhatsApp just has a better experience when users are both iOS and Android. Don’t upload your photos - parents can’t download them. The soccer team that my older son was on pays $100 a year to use TeamSnap even though they get SportsEngine for free. I also see the developer responding to all the other reported bugs asking for people to reach out to support. This irritates me - we are your customers, not your QA department. SportsEngine needs to fix their development process and not rely on the users to do their work. If you want my help, pay me.",0,0,1,2022-05-24T09:38:57-07:00,6.4.10
8690008849,Assistant Coach,"It really connects us with the parents. Wether a parent wants to bring snacks, gear left at the field, we are connected to allow for a less stressful endeavor 🙂",0,0,5,2022-05-20T07:10:48-07:00,6.4.10
8687441383,Not even close to TeamSnap,"Not sure where to begin, but don’t bother with this app - it is a hot mess. No support, not user friendly, very dated and messy. And incomplete. Thought the website could help me…nope. TeamSnap has it all figured out.",1,1,1,2022-05-19T11:34:10-07:00,6.4.10
8682001411,Soccer mom,The app is great for sports info and events for multiple kids.,0,0,5,2022-05-17T19:54:43-07:00,6.4.9
8681748934,slow and glitchy,"man this app can be frustrating. crashes, loads slow, sometimes takes a while to update so if you click on schedule nothing shows, then after time the event shows up. parents have missed games or practices because the app showed nothing for a particular day, but there was one in actuality.",1,1,2,2022-05-17T18:01:13-07:00,6.4.9
8665253675,Doesn’t work,"Home page won’t load so I can’t do anything. I’ve tried going on different networks, closing the app, restarting my phone, and redownloading the app and still just a loading circle",0,0,1,2022-05-12T20:28:00-07:00,6.4.9
8661775554,Great App!,"The app really was the best thing to happen to my team, it kept us organised and made scheduling practices so much easier!! Some of the player couldn’t make it to practice some days, so we put the plays in as videos and as they looked over them, our team seemed even more put together than before!The app is super easy to use and manage, I would definitely recommend!!",0,0,5,2022-05-11T19:07:18-07:00,6.4.9
8640911834,Schedule overlap,Please develop a feature for schedule overlap notification and master scheduling. Our former software had this and it was $300/year total. We only switched because of the app and being told the scheduling feature we wanted exists.,0,0,1,2022-05-05T15:01:07-07:00,6.4.9
8612853404,Great app,Helpful for busy parents !,0,0,5,2022-04-27T15:06:58-07:00,6.4.9
